route,android_key,strict_status,functionality_score,features_score,uiux_score,notes,web_screenshot
"/pricing","tiers","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","24_pricing.png"
"/my-home","my_home","Partial Match",6,6,5,"Native Android screen exists, but structure/components/navigation differ from web baseline.","25_my-home.png"
"/home","category_hub","Partial Match",6,6,5,"Native Android screen exists, but structure/components/navigation differ from web baseline.","26_home.png"
"/for-you","for_you","Partial Match",6,6,5,"Native Android screen exists, but structure/components/navigation differ from web baseline.","27_for-you.png"
"/bought-posts","bought_posts","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","28_bought-posts.png"
"/sold-posts","sold_posts","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","29_sold-posts.png"
"/buyer-view","buyer_view","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","30_buyer-view.png"
"/saledone","sale_done","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","31_saledone.png"
"/saleundone","sale_undone","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","32_saleundone.png"
"/admin-panel","admin_panel","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","33_admin-panel.png"
"/aadhaar-verify","kyc","Partial Match",6,6,5,"Native Android screen exists, but structure/components/navigation differ from web baseline.","34_aadhaar-verify.png"
"/public-wall","public_wall","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","35_public-wall.png"
"/notifications","notifications","Partial Match",6,6,5,"Native Android screen exists, but structure/components/navigation differ from web baseline.","36_notifications.png"
"/complaints","complaints","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","37_complaints.png"
"/feedback","feedback","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","38_feedback.png"
"/rewards","rewards","Far Different",2,2,2,"Android rewards route is still parity-preview/auth-gate style, while web rewards is a full signed-in dashboard.","39_rewards.png"
"/categories","subcategories","Partial Match",6,6,5,"Native Android screen exists, but structure/components/navigation differ from web baseline.","40_categories.png"
"/subcategories","subcategories","Partial Match",6,6,5,"Native Android screen exists, but structure/components/navigation differ from web baseline.","41_subcategories.png"
"/compare","compare","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","42_compare.png"
"/categories/:slug","all_posts","Partial Match",6,6,5,"Native Android screen exists, but structure/components/navigation differ from web baseline.","43_categories_slug.png"
"/feed","feed","Partial Match",6,6,5,"Native Android screen exists, but structure/components/navigation differ from web baseline.","44_feed.png"
"/feed/:id","feed_detail","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","45_feed_id.png"
"/my-feed","my_feed","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","46_my-feed.png"
"/my-posts","my_home","Partial Match",6,6,5,"Native Android screen exists, but structure/components/navigation differ from web baseline.","47_my-posts.png"
"/post_add","post_add","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","48_post_add.png"
"/feed/feedpostadd","post_add","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","49_feed_feedpostadd.png"
"/wishlist","wishlist","Partial Match",6,6,5,"Native Android screen exists, but structure/components/navigation differ from web baseline.","50_wishlist.png"
"/cart","cart","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","51_cart.png"
"/recently-viewed","recently_viewed","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","52_recently-viewed.png"
"/saved-searches","saved_searches","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","53_saved-searches.png"
"/verification","verification","Partial Match",5,4,4,"Closest Android flow exists but does not reproduce full web route behavior or layout.","54_verification.png"
"/nearby","nearby","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","55_nearby.png"
"/chat","chat","Partial Match",6,6,5,"Native Android screen exists, but structure/components/navigation differ from web baseline.","56_chat.png"
"/chats","chat","Partial Match",6,6,5,"Native Android screen exists, but structure/components/navigation differ from web baseline.","57_chats.png"
"/t&c","terms","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","58_t_c.png"
"/terms","terms","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","59_terms.png"
"/terms-and-conditions","terms","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","60_terms-and-conditions.png"
"/privacy-policy","privacy","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","61_privacy-policy.png"
"/refund-policy","refund","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","62_refund-policy.png"
"/support-ticket-policy","support_policy","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","63_support-ticket-policy.png"
"/search","search","Partial Match",6,6,5,"Native Android screen exists, but structure/components/navigation differ from web baseline.","64_search.png"
"/analytics","analytics","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","65_analytics.png"
"/channels","channels","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","66_channels.png"
"/channels/create","channel_create","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","67_channels_create.png"
"/channels/:id","channel_detail","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","68_channels_id.png"
"/centre","centre_list","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","69_centre.png"
"/centre/create","centre_create","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","70_centre_create.png"
"/centre/:id/listings","centre_listings","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","71_centre_id_listings.png"
"/centre/:id","centre_detail","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","72_centre_id.png"
"/kyc","kyc","Partial Match",6,6,5,"Native Android screen exists, but structure/components/navigation differ from web baseline.","73_kyc.png"
"/payment","payment","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","74_payment.png"
"/offers","offers","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","75_offers.png"
"/reviews/:userId","reviews","Not Same (Parity Placeholder)",2,2,2,"Currently represented via parity preview/detail surface, not a production-native equivalent screen.","76_reviews_userId.png"
